ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
48,33,b,47640.0,2543.8,2609.8,45030.2,16,7838046,6k1/6p1/7p/5P2/K5n1/8/P2B2PP/8 b - - 0 33
49,34,w,43222.3,2345.0,2232.5,40989.8,16,6666064,6k1/6p1/7p/5P2/K7/8/P2B1nPP/8 w - - 1 34
50,34,b,45530.2,2448.9,2656.5,42873.7,16,7737558,6k1/6p1/7p/1K3P2/8/8/P2B1nPP/8 b - - 2 34
51,35,w,41489.8,2267.0,1594.2,39895.6,16,4576227,6k1/6p1/7p/1K3P2/4n3/8/P2B2PP/8 w - - 3 35
52,35,b,43373.7,2351.8,2003.2,41370.5,16,5723539,6k1/6p1/7p/1K3P2/1B2n3/8/P5PP/8 b - - 4 35
53,36,w,40395.6,2217.8,1708.7,38686.9,16,4779340,8/5kp1/7p/1K3P2/1B2n3/8/P5PP/8 w - - 5 36
54,36,b,41870.5,2284.2,2448.5,39422.0,16,7149191,8/5kp1/7p/1K3P2/PB2n3/8/6PP/8 b - - 0 36
55,37,w,39186.9,2163.4,1509.0,37677.9,16,4312230,4k3/6p1/7p/1K3P2/PB2n3/8/6PP/8 w - - 1 37
56,37,b,39922.0,2196.5,1893.5,38028.5,16,5613895,4k3/6p1/2K4p/5P2/PB2n3/8/6PP/8 b - - 2 37
57,38,w,38177.9,2118.0,2046.4,36131.5,16,6261887,3k4/6p1/2K4p/5P2/PB2n3/8/6PP/8 w - - 3 38
58,38,b,38528.5,2133.8,9486.3,29042.2,16,31841051,3k4/1K4p1/7p/5P2/PB2n3/8/6PP/8 b - - 4 38
59,39,w,36631.5,2048.4,12351.9,24279.6,16,40746347,3k4/1K4p1/5n1p/5P2/PB6/8/6PP/8 w - - 5 39
60,39,b,29542.2,1729.4,1042.1,28500.1,15,3156694,3k4/1K4p1/5n1p/P4P2/1B6/8/6PP/8 b - - 0 39
61,40,w,24779.6,1515.1,1899.5,22880.1,15,5905913,3k4/1K4p1/7p/P2n1P2/1B6/8/6PP/8 w - - 1 40
62,40,b,29000.1,1705.0,1467.6,27532.5,15,4335001,3k4/1K4p1/P6p/3n1P2/1B6/8/6PP/8 b - - 0 40
63,41,w,23380.1,1452.1,2805.4,20574.8,14,9272068,3k4/1K4p1/P6p/5P2/1n6/8/6PP/8 w - - 0 41
64,41,b,28032.5,1661.5,1777.1,26255.4,12,5567585,3k4/PK4p1/7p/5P2/1n6/8/6PP/8 b - - 0 41
65,42,w,21074.8,1348.4,2334.9,18739.9,12,7919721,3k4/PK4p1/7p/3n1P2/8/8/6PP/8 w - - 1 42
66,42,b,26755.4,1604.0,6181.1,20574.4,13,21637772,Q2k4/1K4p1/7p/3n1P2/8/8/6PP/8 b - - 0 42
67,43,w,19239.9,1265.8,3232.6,16007.3,11,10929425,Q7/1K2k1p1/7p/3n1P2/8/8/6PP/8 w - - 1 43
68,43,b,21074.4,1348.3,1164.9,19909.5,12,3668617,6Q1/1K2k1p1/7p/3n1P2/8/8/6PP/8 b - - 2 43
69,44,w,16507.3,1142.8,4932.2,11575.1,12,17708519,6Q1/1K4p1/3k3p/3n1P2/8/8/6PP/8 w - - 3 44
70,44,b,20409.5,1318.4,668.5,19741.0,11,2062578,8/1K4Q1/3k3p/3n1P2/8/8/6PP/8 b - - 0 44
71,45,w,12075.1,943.4,961.1,11114.1,11,2958838,8/1K4Q1/3k4/3n1P1p/8/8/6PP/8 w - - 0 45
72,45,b,20241.0,1310.8,6322.9,13918.1,11,22021447,8/1K4Q1/3k1P2/3n3p/8/8/6PP/8 b - - 0 45
73,46,w,11614.1,922.6,510.6,11103.5,9,1563348,8/1K4Q1/3k1n2/7p/8/8/6PP/8 w - - 0 46
74,46,b,14418.1,1048.8,579.8,13838.2,10,1718435,8/1K6/3k1Q2/7p/8/8/6PP/8 b - - 0 46
75,47,w,11603.5,922.2,3728.1,7875.3,10,13839183,8/1K6/5Q2/2k4p/8/8/6PP/8 w - - 1 47
76,47,b,14338.2,1045.2,636.9,13701.4,10,2100130,8/1K6/8/2k1Q2p/8/8/6PP/8 b - - 2 47
77,48,w,8375.3,776.9,615.0,7760.4,9,1980129,8/1K6/8/4Q2p/2k5/8/6PP/8 w - - 3 48
78,48,b,14201.4,1039.1,693.0,13508.4,10,2309299,8/1K6/8/4Q2p/2k4P/8/6P1/8 b - - 0 48
79,49,w,8260.4,771.7,852.1,7408.3,10,3077242,8/1K6/8/4Q2p/7P/3k4/6P1/8 w - - 1 49
80,49,b,14008.4,1030.4,692.4,13316.0,10,2426608,8/1K6/8/7Q/7P/3k4/6P1/8 b - - 0 49
81,50,w,7908.3,755.9,383.1,7525.2,9,1317223,8/1K6/8/7Q/3k3P/8/6P1/8 w - - 1 50
82,50,b,13816.0,1021.7,557.1,13258.9,10,1936931,8/1K3Q2/8/8/3k3P/8/6P1/8 b - - 2 50
83,51,w,8025.2,761.1,394.3,7630.9,9,1257886,8/1K3Q2/8/8/7P/3k4/6P1/8 w - - 3 51
84,51,b,13758.9,1019.1,651.9,13106.9,10,2325200,8/1K3Q2/8/8/6PP/3k4/8/8 b - - 0 51
85,52,w,8130.9,765.9,654.2,7476.6,10,2267651,8/1K3Q2/8/8/3k2PP/8/8/8 w - - 1 52
86,52,b,13606.9,1012.3,641.8,12965.1,10,2230648,8/1K3Q2/8/7P/3k2P1/8/8/8 b - - 0 52
87,53,w,7976.6,758.9,1350.3,6626.4,10,5257582,8/1K3Q2/8/7P/6P1/2k5/8/8 w - - 1 53
88,53,b,13465.1,1005.9,513.1,12952.1,9,1801938,8/1K3Q2/7P/8/6P1/2k5/8/8 b - - 0 53
89,54,w,7126.4,720.7,3267.7,3858.7,9,12251648,8/1K3Q2/7P/8/1k4P1/8/8/8 w - - 1 54
90,54,b,13452.1,1005.3,979.7,12472.3,8,3458938,8/1K3Q1P/8/8/1k4P1/8/8/8 b - - 0 54
91,55,w,4358.7,596.1,387.6,3971.1,7,1337359,8/1K3Q1P/8/8/6P1/2k5/8/8 w - - 1 55
92,55,b,12972.3,983.8,2145.9,10826.4,8,7632384,7Q/1K3Q2/8/8/6P1/2k5/8/8 b - - 0 55
93,56,w,4471.1,601.2,443.6,4027.5,6,1495543,7Q/1K3Q2/8/8/6P1/8/2k5/8 w - - 1 56
94,56,b,11326.4,909.7,801.0,10525.4,8,2665472,7Q/1K6/8/8/6P1/8/2k2Q2/8 b - - 2 56
95,57,w,4527.5,603.7,588.4,3939.1,7,1988810,7Q/1K6/8/8/6P1/1k6/5Q2/8 w - - 3 57
96,57,b,11025.4,896.1,4120.3,6905.1,9,15204864,7Q/1K6/8/8/6P1/1k6/1Q6/8 b - - 4 57
97,58,w,4439.1,599.8,358.1,4081.0,7,1106131,7Q/1K6/8/8/k5P1/8/1Q6/8 w - - 5 58
