ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
0,9,b,120000.0,5800.0,3052.1,116947.9,9,7479502,r2qkb1r/1p3ppp/p1npbn2/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R b KQkq - 3 9
1,10,w,120000.0,5800.0,3553.5,116446.5,10,9121243,r2qkb1r/1p3pp1/p1npbn1p/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R w KQkq - 0 10
2,10,b,117447.9,5685.2,5138.6,112309.3,10,13105841,r2qkb1r/1p3pp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP3PP/R2QKB1R b KQkq - 1 10
3,11,w,116946.5,5662.6,6765.4,110181.1,10,17515747,1r1qkb1r/1p3pp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP3PP/R2QKB1R w KQk - 2 11
4,11,b,112809.3,5476.4,4198.4,108610.8,10,10775640,1r1qkb1r/1p3pp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP1B1PP/R2QK2R b KQk - 3 11
5,12,w,110681.1,5380.6,3957.1,106724.0,10,11032396,1r1qk2r/1p2bpp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP1B1PP/R2QK2R w KQk - 4 12
6,12,b,109110.8,5310.0,4515.3,104595.6,11,12206041,1r1qk2r/1p2bpp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP1B1PP/R2Q1RK1 b k - 5 12
7,13,w,107224.0,5225.1,4995.8,102228.2,11,13931310,1r1qk2r/1p2bpp1/p2pbn1p/4p3/1n2P3/N1N1BP2/PPP1B1PP/R2Q1RK1 w k - 6 13
