ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
338,178,b,51789.1,2730.5,1.2,51787.9,64,192,8/8/8/8/8/8/8/1K1k4 b - - 161 178
339,179,w,51417.4,2713.8,1.6,51415.8,64,320,8/8/8/8/8/8/8/1K2k3 w - - 162 179
340,179,b,52287.9,2753.0,1.7,52286.2,64,320,8/8/8/8/8/8/8/K3k3 b - - 163 179
341,180,w,51915.8,2736.2,1.2,51914.6,64,192,8/8/8/8/8/8/8/K2k4 w - - 164 180
342,180,b,52786.2,2775.4,1.2,52785.0,64,192,8/8/8/8/8/8/8/1K1k4 b - - 165 180
343,181,w,52414.6,2758.7,1.6,52413.0,64,320,8/8/8/8/8/8/8/1K2k3 w - - 166 181
344,181,b,53285.0,2797.8,1.7,53283.3,64,320,8/8/8/8/8/8/8/K3k3 b - - 167 181
345,182,w,52913.0,2781.1,1.2,52911.8,64,192,8/8/8/8/8/8/8/K2k4 w - - 168 182
346,182,b,53783.3,2820.3,1.2,53782.1,64,192,8/8/8/8/8/8/8/1K1k4 b - - 169 182
347,183,w,53411.8,2803.5,1.6,53410.2,64,320,8/8/8/8/8/8/8/1K2k3 w - - 170 183
348,183,b,54282.1,2842.7,1.6,54280.5,64,320,8/8/8/8/8/8/8/K3k3 b - - 171 183
349,184,w,53910.2,2826.0,1.2,53909.0,64,192,8/8/8/8/8/8/8/K2k4 w - - 172 184
350,184,b,54780.5,2865.1,1.2,54779.3,64,192,8/8/8/8/8/8/8/1K1k4 b - - 173 184
351,185,w,54409.0,2848.4,1.7,54407.3,64,320,8/8/8/8/8/8/8/1K2k3 w - - 174 185
352,185,b,55279.3,2887.6,1.5,55277.8,64,320,8/8/8/8/8/8/8/K3k3 b - - 175 185
353,186,w,54907.3,2870.8,1.2,54906.2,64,192,8/8/8/8/8/8/8/K2k4 w - - 176 186
354,186,b,55777.8,2910.0,1.1,55776.7,64,192,8/8/8/8/8/8/8/1K1k4 b - - 177 186
355,187,w,55406.2,2893.3,1.6,55404.6,64,320,8/8/8/8/8/8/8/1K2k3 w - - 178 187
356,187,b,56276.7,2932.4,1.5,56275.1,64,320,8/8/8/8/8/8/8/K3k3 b - - 179 187
357,188,w,55904.6,2915.7,1.3,55903.3,64,192,8/8/8/8/8/8/8/K2k4 w - - 180 188
358,188,b,56775.1,2954.9,1.2,56773.9,64,192,8/8/8/8/8/8/8/1K1k4 b - - 181 188
359,189,w,56403.3,2938.2,1.8,56401.6,64,320,8/8/8/8/8/8/8/1K2k3 w - - 182 189
360,189,b,57273.9,2977.3,1.6,57272.4,64,320,8/8/8/8/8/8/8/K3k3 b - - 183 189
361,190,w,56901.6,2960.6,1.2,56900.3,64,192,8/8/8/8/8/8/8/K2k4 w - - 184 190
362,190,b,57772.4,2999.8,1.1,57771.3,64,192,8/8/8/8/8/8/8/1K1k4 b - - 185 190
363,191,w,57400.3,2983.0,1.6,57398.8,64,320,8/8/8/8/8/8/8/1K2k3 w - - 186 191
364,191,b,58271.3,3022.2,1.7,58269.6,64,320,8/8/8/8/8/8/8/K3k3 b - - 187 191
365,192,w,57898.8,3005.4,1.3,57897.5,64,192,8/8/8/8/8/8/8/K2k4 w - - 188 192
366,192,b,58769.6,3044.6,1.2,58768.4,64,192,8/8/8/8/8/8/8/1K1k4 b - - 189 192
367,193,w,58397.5,3027.9,1.7,58395.8,64,320,8/8/8/8/8/8/8/1K2k3 w - - 190 193
368,193,b,59268.4,3067.1,1.6,59266.8,64,320,8/8/8/8/8/8/8/K3k3 b - - 191 193
369,194,w,58895.8,3050.3,1.3,58894.5,64,192,8/8/8/8/8/8/8/K2k4 w - - 192 194
370,194,b,59766.8,3089.5,1.1,59765.7,64,192,8/8/8/8/8/8/8/1K1k4 b - - 193 194
371,195,w,59394.5,3072.8,1.6,59392.9,64,320,8/8/8/8/8/8/8/1K2k3 w - - 194 195
372,195,b,60265.7,3112.0,1.7,60264.0,64,320,8/8/8/8/8/8/8/K3k3 b - - 195 195
373,196,w,59892.9,3095.2,1.2,59891.7,64,192,8/8/8/8/8/8/8/K2k4 w - - 196 196
374,196,b,60764.0,3134.4,1.1,60762.8,64,192,8/8/8/8/8/8/8/1K1k4 b - - 197 196
375,197,w,60391.7,3117.6,1.6,60390.1,64,320,8/8/8/8/8/8/8/1K2k3 w - - 198 197
376,197,b,61262.8,3156.8,1.6,61261.3,64,320,8/8/8/8/8/8/8/K3k3 b - - 199 197
377,198,w,60890.1,3140.1,1.2,60888.9,64,192,8/8/8/8/8/8/8/K2k4 w - - 200 198
378,198,b,61761.3,3179.3,1.2,61760.1,64,192,8/8/8/8/8/8/8/1K1k4 b - - 201 198
379,199,w,61388.9,3162.5,1.5,61387.4,64,320,8/8/8/8/8/8/8/1K2k3 w - - 202 199
380,199,b,62260.1,3201.7,1.6,62258.5,64,320,8/8/8/8/8/8/8/K3k3 b - - 203 199
381,200,w,61887.4,3184.9,1.2,61886.2,64,192,8/8/8/8/8/8/8/K2k4 w - - 204 200
382,200,b,62758.5,3224.1,1.1,62757.4,64,192,8/8/8/8/8/8/8/1K1k4 b - - 205 200
383,201,w,62386.2,3207.4,1.6,62384.6,64,320,8/8/8/8/8/8/8/1K2k3 w - - 206 201
384,201,b,63257.4,3246.6,1.6,63255.8,64,320,8/8/8/8/8/8/8/K3k3 b - - 207 201
385,202,w,62884.6,3229.8,1.2,62883.4,64,192,8/8/8/8/8/8/8/K2k4 w - - 208 202
386,202,b,63755.8,3269.0,1.3,63754.6,64,192,8/8/8/8/8/8/8/1K1k4 b - - 209 202
387,203,w,63383.4,3252.3,1.6,63381.8,64,320,8/8/8/8/8/8/8/1K2k3 w - - 210 203
388,203,b,64254.6,3291.5,1.6,64253.0,64,320,8/8/8/8/8/8/8/K3k3 b - - 211 203
389,204,w,63881.8,3274.7,1.2,63880.6,64,192,8/8/8/8/8/8/8/K2k4 w - - 212 204
390,204,b,64753.0,3313.9,1.1,64751.9,64,192,8/8/8/8/8/8/8/1K1k4 b - - 213 204
391,205,w,64380.6,3297.1,1.8,64378.8,64,320,8/8/8/8/8/8/8/1K2k3 w - - 214 205
392,205,b,65251.9,3336.3,1.6,65250.3,64,320,8/8/8/8/8/8/8/K3k3 b - - 215 205
393,206,w,64878.8,3319.5,1.2,64877.6,64,192,8/8/8/8/8/8/8/K2k4 w - - 216 206
394,206,b,65750.3,3358.8,1.2,65749.1,64,192,8/8/8/8/8/8/8/1K1k4 b - - 217 206
395,207,w,65377.6,3342.0,1.6,65376.0,64,320,8/8/8/8/8/8/8/1K2k3 w - - 218 207
396,207,b,66249.1,3381.2,1.7,66247.5,64,320,8/8/8/8/8/8/8/K3k3 b - - 219 207
397,208,w,65876.0,3364.4,1.2,65874.7,64,192,8/8/8/8/8/8/8/K2k4 w - - 220 208
398,208,b,66747.5,3403.6,1.2,66746.3,64,192,8/8/8/8/8/8/8/1K1k4 b - - 221 208
399,209,w,66374.7,3386.9,1.6,66373.1,64,320,8/8/8/8/8/8/8/1K2k3 w - - 222 209
400,209,b,67246.3,3426.1,1.6,67244.7,64,320,8/8/8/8/8/8/8/K3k3 b - - 223 209
401,210,w,66873.1,3409.3,1.2,66871.9,64,192,8/8/8/8/8/8/8/K2k4 w - - 224 210
402,210,b,67744.7,3448.5,1.1,67743.6,64,192,8/8/8/8/8/8/8/1K1k4 b - - 225 210
403,211,w,67371.9,3431.7,1.6,67370.4,64,320,8/8/8/8/8/8/8/1K2k3 w - - 226 211
404,211,b,68243.6,3471.0,1.8,68241.8,64,320,8/8/8/8/8/8/8/K3k3 b - - 227 211
405,212,w,67870.4,3454.2,1.3,67869.1,64,192,8/8/8/8/8/8/8/K2k4 w - - 228 212
406,212,b,68741.8,3493.4,1.1,68740.8,64,192,8/8/8/8/8/8/8/1K1k4 b - - 229 212
407,213,w,68369.1,3476.6,1.6,68367.5,64,320,8/8/8/8/8/8/8/1K2k3 w - - 230 213
408,213,b,69240.8,3515.8,1.6,69239.2,64,320,8/8/8/8/8/8/8/K3k3 b - - 231 213
409,214,w,68867.5,3499.0,1.2,68866.4,64,192,8/8/8/8/8/8/8/K2k4 w - - 232 214
410,214,b,69739.2,3538.3,1.1,69738.1,64,192,8/8/8/8/8/8/8/1K1k4 b - - 233 214
411,215,w,69366.4,3521.5,1.9,69364.4,64,320,8/8/8/8/8/8/8/1K2k3 w - - 234 215
412,215,b,70238.1,3560.7,1.6,70236.4,64,320,8/8/8/8/8/8/8/K3k3 b - - 235 215
413,216,w,69864.4,3543.9,1.3,69863.2,64,192,8/8/8/8/8/8/8/K2k4 w - - 236 216
414,216,b,70736.4,3583.1,1.1,70735.3,64,192,8/8/8/8/8/8/8/1K1k4 b - - 237 216
415,217,w,70363.2,3566.3,1.6,70361.6,64,320,8/8/8/8/8/8/8/1K2k3 w - - 238 217
416,217,b,71235.3,3605.6,1.6,71233.8,64,320,8/8/8/8/8/8/8/K3k3 b - - 239 217
417,218,w,70861.6,3588.8,1.2,70860.4,64,192,8/8/8/8/8/8/8/K2k4 w - - 240 218
418,218,b,71733.8,3628.0,1.2,71732.6,64,192,8/8/8/8/8/8/8/1K1k4 b - - 241 218
419,219,w,71360.4,3611.2,1.8,71358.7,64,320,8/8/8/8/8/8/8/1K2k3 w - - 242 219
420,219,b,72232.6,3650.5,1.6,72231.0,64,320,8/8/8/8/8/8/8/K3k3 b - - 243 219
421,220,w,71858.7,3633.6,1.3,71857.4,64,192,8/8/8/8/8/8/8/K2k4 w - - 244 220
422,220,b,72731.0,3672.9,1.2,72729.9,64,192,8/8/8/8/8/8/8/1K1k4 b - - 245 220
423,221,w,72357.4,3656.1,1.6,72355.8,64,320,8/8/8/8/8/8/8/1K2k3 w - - 246 221
424,221,b,73229.9,3695.3,1.6,73228.2,64,320,8/8/8/8/8/8/8/K3k3 b - - 247 221
425,222,w,72855.8,3678.5,1.3,72854.5,64,192,8/8/8/8/8/8/8/K2k4 w - - 248 222
426,222,b,73728.2,3717.8,1.2,73727.0,64,192,8/8/8/8/8/8/8/1K1k4 b - - 249 222
427,223,w,73354.5,3701.0,3.2,73351.3,64,320,8/8/8/8/8/8/8/1K2k3 w - - 250 223
428,223,b,74227.0,3740.2,1.7,74225.3,64,320,8/8/8/8/8/8/8/K3k3 b - - 251 223
429,224,w,73851.3,3723.3,1.3,73850.1,64,192,8/8/8/8/8/8/8/K2k4 w - - 252 224
430,224,b,74725.3,3762.6,1.2,74724.1,64,192,8/8/8/8/8/8/8/1K1k4 b - - 253 224
431,225,w,74350.1,3745.8,1.6,74348.4,64,320,8/8/8/8/8/8/8/1K2k3 w - - 254 225
432,225,b,75224.1,3785.1,1.6,75222.5,64,320,8/8/8/8/8/8/8/K3k3 b - - 255 225
433,226,w,74848.4,3768.2,1.3,74847.1,64,192,8/8/8/8/8/8/8/K2k4 w - - 256 226
434,226,b,75722.5,3807.5,1.1,75721.4,64,192,8/8/8/8/8/8/8/1K1k4 b - - 257 226
435,227,w,75347.1,3790.6,1.6,75345.5,64,320,8/8/8/8/8/8/8/1K2k3 w - - 258 227
436,227,b,76221.4,3830.0,1.6,76219.7,64,320,8/8/8/8/8/8/8/K3k3 b - - 259 227
437,228,w,75845.5,3813.0,1.2,75844.3,64,192,8/8/8/8/8/8/8/K2k4 w - - 260 228
438,228,b,76719.7,3852.4,1.2,76718.6,64,192,8/8/8/8/8/8/8/1K1k4 b - - 261 228
439,229,w,76344.3,3835.5,1.6,76342.7,64,320,8/8/8/8/8/8/8/1K2k3 w - - 262 229
440,229,b,77218.6,3874.8,1.6,77216.9,64,320,8/8/8/8/8/8/8/K3k3 b - - 263 229
441,230,w,76842.7,3857.9,1.2,76841.5,64,192,8/8/8/8/8/8/8/K2k4 w - - 264 230
442,230,b,77716.9,3897.3,1.1,77715.8,64,192,8/8/8/8/8/8/8/1K1k4 b - - 265 230
443,231,w,77341.5,3880.4,1.6,77339.9,64,320,8/8/8/8/8/8/8/1K2k3 w - - 266 231
444,231,b,78215.8,3919.7,1.7,78214.1,64,320,8/8/8/8/8/8/8/K3k3 b - - 267 231
445,232,w,77839.9,3902.8,1.3,77838.5,64,192,8/8/8/8/8/8/8/K2k4 w - - 268 232
446,232,b,78714.1,3942.1,1.1,78713.0,64,192,8/8/8/8/8/8/8/1K1k4 b - - 269 232
447,233,w,78338.5,3925.2,1.6,78336.9,64,320,8/8/8/8/8/8/8/1K2k3 w - - 270 233
448,233,b,79213.0,3964.6,1.6,79211.4,64,320,8/8/8/8/8/8/8/K3k3 b - - 271 233
449,234,w,78836.9,3947.7,1.1,78835.8,64,192,8/8/8/8/8/8/8/K2k4 w - - 272 234
450,234,b,79711.4,3987.0,1.2,79710.2,64,192,8/8/8/8/8/8/8/1K1k4 b - - 273 234
451,235,w,79335.8,3970.1,1.6,79334.1,64,320,8/8/8/8/8/8/8/1K2k3 w - - 274 235
452,235,b,80210.2,4009.5,1.6,80208.6,64,320,8/8/8/8/8/8/8/K3k3 b - - 275 235
453,236,w,79834.1,3992.5,1.2,79833.0,64,192,8/8/8/8/8/8/8/K2k4 w - - 276 236
454,236,b,80708.6,4031.9,1.2,80707.4,64,192,8/8/8/8/8/8/8/1K1k4 b - - 277 236
455,237,w,80333.0,4015.0,1.6,80331.4,64,320,8/8/8/8/8/8/8/1K2k3 w - - 278 237
456,237,b,81207.4,4054.3,1.6,81205.8,64,320,8/8/8/8/8/8/8/K3k3 b - - 279 237
457,238,w,80831.4,4037.4,1.2,80830.1,64,192,8/8/8/8/8/8/8/K2k4 w - - 280 238
458,238,b,81705.8,4076.8,1.2,81704.6,64,192,8/8/8/8/8/8/8/1K1k4 b - - 281 238
459,239,w,81330.1,4059.9,1.5,81328.6,64,320,8/8/8/8/8/8/8/1K2k3 w - - 282 239
460,239,b,82204.6,4099.2,1.6,82203.0,64,320,8/8/8/8/8/8/8/K3k3 b - - 283 239
461,240,w,81828.6,4082.3,1.5,81827.1,64,192,8/8/8/8/8/8/8/K2k4 w - - 284 240
