ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
0,9,b,120000.0,5800.0,3319.8,116680.2,9,7479502,r2qkb1r/1p3ppp/p1npbn2/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R b KQkq - 3 9
1,10,w,120000.0,5800.0,3837.3,116162.7,10,9121243,r2qkb1r/1p3pp1/p1npbn1p/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R w KQkq - 0 10
2,10,b,117180.2,5673.1,4822.8,112357.5,10,11627014,r2qkb1r/1p3pp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP3PP/R2QKB1R b KQkq - 1 10
3,11,w,116662.7,5649.8,4803.2,111859.5,10,11794950,1r1qkb1r/1p3pp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP3PP/R2QKB1R w KQk - 2 11
4,11,b,112857.5,5478.6,4438.2,108419.3,10,10785219,1r1qkb1r/1p3pp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP1B1PP/R2QK2R b KQk - 3 11
5,12,w,112359.5,5456.2,3645.7,108713.8,10,9213214,1r1qk2r/1p2bpp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP1B1PP/R2QK2R w KQk - 4 12
6,12,b,108919.3,5301.4,2708.7,106210.6,10,6797782,1r1qk2r/1p2bpp1/p1npbn1p/4p3/4P3/N1N1BP2/PPP1B1PP/R2Q1RK1 b k - 5 12
7,13,w,109213.8,5314.6,4518.6,104695.2,10,11017984,1r1qk2r/1p2bpp1/p2pbn1p/4p3/1n2P3/N1N1BP2/PPP1B1PP/R2Q1RK1 w k - 6 13
