ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
43,31,w,60371.2,3116.7,2650.1,57721.1,11,7089933,2r3k1/5pp1/1p2b3/p6p/2Pb4/N4RKP/2P3P1/1R6 w - - 0 31
44,31,b,58498.6,3032.4,2068.8,56429.8,11,5615551,2r3k1/5pp1/1p2b3/p6p/2Pb4/N4RKP/2P3P1/3R4 b - - 1 31
45,32,w,58221.1,3020.0,2567.7,55653.4,11,6660352,2r3k1/5pp1/1p2b3/p1b4p/2P5/N4RKP/2P3P1/3R4 w - - 2 32
46,32,b,56929.8,2961.8,2317.7,54612.2,11,6434597,2r3k1/5pp1/1p2b3/p1b4p/2P5/N2R2KP/2P3P1/3R4 b - - 3 32
47,33,w,56153.4,2926.9,2488.9,53664.6,11,6541059,2r3k1/5pp1/1p2b3/2b4p/p1P5/N2R2KP/2P3P1/3R4 w - - 0 33
48,33,b,55112.2,2880.0,2448.9,52663.3,12,6906387,2r3k1/5pp1/1p2b3/2b4p/p1P4P/N2R2K1/2P3P1/3R4 b - - 0 33
49,34,w,54164.6,2837.4,2376.2,51788.3,12,6367211,2r3k1/5pp1/1p6/2b2b1p/p1P4P/N2R2K1/2P3P1/3R4 w - - 1 34
50,34,b,53163.3,2792.3,2294.9,50868.4,11,6100154,2r3k1/5pp1/1p6/2b2b1p/p1P4P/N1R3K1/2P3P1/3R4 b - - 2 34
51,35,w,52288.3,2753.0,2014.9,50273.4,11,5285857,4r1k1/5pp1/1p6/2b2b1p/p1P4P/N1R3K1/2P3P1/3R4 w - - 3 35
52,35,b,51368.4,2711.6,2305.5,49063.0,11,6183936,4r1k1/5pp1/1p6/1Nb2b1p/p1P4P/2R3K1/2P3P1/3R4 b - - 4 35
53,36,w,50773.4,2684.8,2282.8,48490.6,11,6044165,6k1/5pp1/1p6/1Nb2b1p/p1P1r2P/2R3K1/2P3P1/3R4 w - - 5 36
54,36,b,49563.0,2630.3,1550.0,48012.9,11,4187027,6k1/5pp1/1p1N4/2b2b1p/p1P1r2P/2R3K1/2P3P1/3R4 b - - 6 36
55,37,w,48990.6,2604.6,1845.5,47145.1,12,4924022,6k1/5pp1/1p1N4/2b2b1p/p1P3rP/2R3K1/2P3P1/3R4 w - - 7 37
56,37,b,48512.9,2583.1,2196.0,46316.9,12,5881088,6k1/5pp1/1p1N4/2b2b1p/p1P3rP/2R5/2P3PK/3R4 b - - 8 37
57,38,w,47645.1,2544.0,2163.1,45482.1,12,5681157,6k1/5pp1/1p1N4/5b1p/pbP3rP/2R5/2P3PK/3R4 w - - 9 38
58,38,b,46816.9,2506.8,2131.3,44685.6,12,5542915,6k1/5pp1/1p1N4/5b1p/pbP3rP/4R3/2P3PK/3R4 b - - 10 38
59,39,w,45982.1,2469.2,2099.3,43882.8,12,5453580,6k1/5pp1/1p1N4/7p/pbP3rP/4R3/2b3PK/3R4 w - - 0 39
60,39,b,45185.6,2433.4,2069.1,43116.5,12,5139456,6k1/5pp1/1p1N4/3R3p/pbP3rP/4R3/2b3PK/8 b - - 1 39
61,40,w,44382.8,2397.2,1222.8,43160.0,10,3046252,6k1/5pp1/1p1N4/3R3p/1bP3rP/p3R3/2b3PK/8 w - - 0 40
62,40,b,43616.5,2362.7,2009.0,41607.5,12,5038344,4R1k1/5pp1/1p1N4/3R3p/1bP3rP/p7/2b3PK/8 b - - 1 40
63,41,w,43660.0,2364.7,1909.1,41750.9,11,4791821,4R3/5ppk/1p1N4/3R3p/1bP3rP/p7/2b3PK/8 w - - 2 41
64,41,b,42107.5,2294.8,1951.2,40156.3,11,4748559,R7/5ppk/1p1N4/3R3p/1bP3rP/p7/2b3PK/8 b - - 3 41
65,42,w,42250.9,2301.3,1956.6,40294.2,12,4691722,R7/5ppk/1p1N4/3R3p/1bP4r/p7/2b3PK/8 w - - 0 42
66,42,b,40656.3,2229.5,1895.5,38760.8,11,4608262,R7/5ppk/1p1N4/3R3p/1bP4r/p5K1/2b3P1/8 b - - 1 42
67,43,w,40794.2,2235.7,1900.9,38893.4,11,4587810,R7/5ppk/1p1N4/3R3p/1bP3r1/p5K1/2b3P1/8 w - - 2 43
68,43,b,39260.8,2166.7,1842.2,37418.7,11,4480274,R7/5ppk/1p1N4/3R3p/1bP3r1/p7/2b3PK/8 b - - 3 43
