ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
63,41,w,32993.0,1884.7,1604.0,31389.0,12,4463307,6k1/1p4p1/3p3p/p2Np3/2P1P3/4R3/PPb3K1/1r6 w - - 4 41
64,41,b,21911.2,1386.0,927.0,20984.2,11,2447828,6k1/1p4p1/3p3p/p2Np3/2P1P3/4RK2/PPb5/1r6 b - - 5 41
65,42,w,31889.0,1835.0,2839.6,29049.4,12,7662677,6k1/1p4p1/3p3p/p2Np3/2P1P3/4RK2/Prb5/8 w - - 0 42
66,42,b,21484.2,1366.8,1445.0,20039.2,12,3977415,6k1/1p4p1/3p3p/p2Np3/2P1P3/R4K2/Prb5/8 b - - 1 42
67,43,w,29549.4,1729.7,1397.2,28152.2,12,3695105,6k1/6p1/1p1p3p/p2Np3/2P1P3/R4K2/Prb5/8 w - - 0 43
68,43,b,20539.2,1324.3,927.7,19611.5,13,2383011,6k1/4N1p1/1p1p3p/p3p3/2P1P3/R4K2/Prb5/8 b - - 1 43
69,44,w,28652.2,1689.3,1662.1,26990.1,13,4619653,8/4N1pk/1p1p3p/p3p3/2P1P3/R4K2/Prb5/8 w - - 2 44
70,44,b,20111.5,1305.0,1235.5,18876.0,13,3388666,8/6pk/1p1p3p/p3pN2/2P1P3/R4K2/Prb5/8 b - - 3 44
71,45,w,27490.1,1637.1,2750.7,24739.3,15,7720379,8/6pk/1p1p3p/p3pN2/2P1P3/R4K2/Pr6/3b4 w - - 4 45
72,45,b,19376.0,1271.9,895.5,18480.5,13,2411988,8/6pk/1p1p3p/p3pN2/2P1P3/R5K1/Pr6/3b4 b - - 5 45
73,46,w,25239.3,1535.8,2101.6,23137.7,14,5551284,8/6pk/1p1p3p/p3pN2/2P1P3/R5K1/P2r4/3b4 w - - 6 46
74,46,b,18980.5,1254.1,1187.6,17792.9,14,3178585,8/6pk/1p1p3p/p3p3/2P1P3/R3N1K1/P2r4/3b4 b - - 7 46
75,47,w,23637.7,1463.7,3463.8,20173.9,14,9935609,8/7k/1p1p3p/p3p1p1/2P1P3/R3N1K1/P2r4/3b4 w - - 0 47
76,47,b,18292.9,1223.2,2880.1,15412.8,14,8189847,8/7k/1p1p3p/p3p1p1/2P1P3/R5K1/P2r4/3N4 b - - 0 47
77,48,w,20673.9,1330.3,1217.6,19456.2,13,3302795,8/7k/1p1p3p/p3p1p1/2P1P3/R5K1/P7/3r4 w - - 0 48
78,48,b,15912.8,1116.1,955.0,14957.8,12,2475522,8/7k/1p1p3p/p3p1p1/2P1P3/1R4K1/P7/3r4 b - - 1 48
79,49,w,19956.2,1298.0,1221.7,18734.5,12,3120973,8/7k/1p1p4/p3p1pp/2P1P3/1R4K1/P7/3r4 w - - 0 49
80,49,b,15457.8,1095.6,1722.1,13735.7,12,4556177,8/7k/1R1p4/p3p1pp/2P1P3/6K1/P7/3r4 b - - 0 49
81,50,w,19234.5,1265.6,2528.3,16706.2,13,6380075,8/7k/1R1p4/p3p1pp/2P1P3/3r2K1/P7/8 w - - 1 50
82,50,b,14235.7,1040.6,648.1,13587.6,12,1557755,8/7k/1R1p4/p3p1pp/2P1P3/3r4/P4K2/8 b - - 2 50
83,51,w,17206.2,1174.3,4844.9,12361.3,12,13106910,8/7k/1R1p4/p3p2p/2P1P1p1/3r4/P4K2/8 w - - 0 51
84,51,b,14087.6,1033.9,2475.9,11611.7,12,6573677,8/1R5k/3p4/p3p2p/2P1P1p1/3r4/P4K2/8 b - - 1 51
85,52,w,12861.3,978.8,782.8,12078.4,11,1913029,8/1R6/3p2k1/p3p2p/2P1P1p1/3r4/P4K2/8 w - - 2 52
86,52,b,12111.7,945.0,809.6,11302.1,12,2000109,8/8/1R1p2k1/p3p2p/2P1P1p1/3r4/P4K2/8 b - - 3 52
87,53,w,12578.4,966.0,935.2,11643.3,12,2341870,8/8/1R1p4/p3p1kp/2P1P1p1/3r4/P4K2/8 w - - 4 53
88,53,b,11802.1,931.1,592.8,11209.3,12,1496789,8/8/1R1p4/p3p1kp/2P1P1p1/3r4/P3K3/8 b - - 5 53
89,54,w,12143.3,946.4,484.2,11659.0,11,1232513,8/8/1R1p4/p3p1kp/2PrP1p1/8/P3K3/8 w - - 6 54
90,54,b,11709.3,926.9,1200.2,10509.0,12,3020012,8/8/1R1p4/p3p1kp/2PrP1p1/4K3/P7/8 b - - 7 54
91,55,w,12159.0,947.2,813.1,11345.9,12,2004012,8/8/1R1p4/p3p1kp/2PrP3/4K1p1/P7/8 w - - 0 55
92,55,b,11009.0,895.4,955.1,10054.0,12,2458268,8/8/1R1p4/p3p1kp/2PrP3/5Kp1/P7/8 b - - 1 55
93,56,w,11845.9,933.1,1125.1,10720.8,12,2914586,8/8/1R1p4/p3p1k1/2PrP2p/5Kp1/P7/8 w - - 0 56
94,56,b,10554.0,874.9,943.5,9610.5,12,2419126,8/8/3p4/p3p1k1/2PrP2p/1R3Kp1/P7/8 b - - 1 56
95,57,w,11220.8,904.9,785.0,10435.8,12,1989869,8/8/3p4/p3p1k1/2r1P2p/1R3Kp1/P7/8 w - - 0 57
96,57,b,10110.5,855.0,834.2,9276.3,12,2281400,8/8/3p4/p3p1k1/2r1P2p/PR3Kp1/8/8 b - - 0 57
97,58,w,10935.8,892.1,860.8,10075.1,13,2272033,8/8/3p4/4p1k1/p1r1P2p/PR3Kp1/8/8 w - - 0 58
98,58,b,9776.3,839.9,530.7,9245.5,12,1382313,1R6/8/3p4/4p1k1/p1r1P2p/P4Kp1/8/8 b - - 1 58
99,59,w,10575.1,875.9,1898.6,8676.5,14,5220716,1R6/8/3p4/4p1k1/p3P2p/P1r2Kp1/8/8 w - - 2 59
100,59,b,9745.5,838.5,547.7,9197.8,13,1413858,1R6/8/3p4/4p1k1/p3P2p/P1r3p1/6K1/8 b - - 3 59
101,60,w,9176.5,812.9,1057.5,8119.1,13,2861088,1R6/8/3p4/4p1k1/p3P2p/r5p1/6K1/8 w - - 0 60
102,60,b,9697.8,836.4,633.9,9063.9,13,1647261,1R6/8/3p4/4p1k1/p3P2p/r5pK/8/8 b - - 1 60
103,61,w,8619.1,787.9,439.2,8179.9,12,1137755,1R6/8/3p4/4p1k1/p3P2p/6pK/8/r7 w - - 2 61
104,61,b,9563.9,830.4,712.6,8851.3,13,1881051,3R4/8/3p4/4p1k1/p3P2p/6pK/8/r7 b - - 3 61
105,62,w,8679.9,790.6,682.6,7997.3,13,1690833,3R4/8/3p4/4p1k1/4P2p/p5pK/8/r7 w - - 0 62
106,62,b,9351.3,820.8,1098.6,8252.8,12,3128307,3R4/8/3p4/4p1k1/4P2p/p5p1/6K1/r7 b - - 1 62
107,63,w,8497.3,782.4,1543.8,6953.5,12,4506401,3R4/8/3p4/4p1k1/4P2p/p5p1/6K1/1r6 w - - 2 63
108,63,b,8752.8,793.9,479.6,8273.2,10,1318339,3R4/8/3p4/4p1k1/4P2p/p4Kp1/8/1r6 b - - 3 63
109,64,w,7453.5,735.4,4235.5,3218.0,11,14020433,3R4/8/3p4/4p1k1/4P2p/5Kp1/p7/1r6 w - - 0 64
110,64,b,8773.2,794.8,590.7,8182.5,12,1588818,6R1/8/3p4/4p1k1/4P2p/5Kp1/p7/1r6 b - - 1 64
111,65,w,3718.0,567.3,4056.7,-338.7,12,13399593,6R1/8/3p1k2/4p3/4P2p/5Kp1/p7/1r6 w - - 2 65
