ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
247,131,w,4996.4,624.8,350.0,4646.4,24,912327,8/4k3/1b2p3/3p1p2/1p1P1P2/1P2P3/2K1B3/8 w - - 103 131
248,131,b,4261.5,591.8,298.9,3962.6,22,701432,8/4k3/1b2p3/3p1p2/1p1P1P2/1P2P3/2K5/3B4 b - - 104 131
249,132,w,5146.4,631.6,369.5,4776.9,26,964013,8/4k3/4p3/b2p1p2/1p1P1P2/1P2P3/2K5/3B4 w - - 105 132
250,132,b,4462.6,600.8,2164.3,2298.3,25,5788783,8/4k3/4p3/b2p1p2/1p1P1P2/1P2P3/2K1B3/8 b - - 106 132
251,133,w,5276.9,637.5,352.8,4924.2,25,961217,8/4k3/1b2p3/3p1p2/1p1P1P2/1P2P3/2K1B3/8 w - - 107 133
252,133,b,2798.3,200.0,0.7,2797.6,0,22,8/4k3/1b2p3/3p1p2/1p1P1P2/1P2P3/2K5/3B4 b - - 108 133
253,134,w,5424.2,644.1,674.5,4749.6,28,1776925,8/4k3/4p3/b2p1p2/1p1P1P2/1P2P3/2K5/3B4 w - - 109 134
254,134,b,3297.6,548.4,693.7,2603.9,26,1759968,8/4k3/4p3/b2p1p2/1p1P1P2/1P2P3/2K1B3/8 b - - 110 134
255,135,w,5249.6,636.2,514.0,4735.7,26,1350801,8/4k3/1b2p3/3p1p2/1p1P1P2/1P2P3/2K1B3/8 w - - 111 135
256,135,b,3103.9,539.7,615.3,2488.6,24,1505255,8/4k3/1b2p3/3p1p2/1p1P1P2/1P2P3/2K5/3B4 b - - 112 135
257,136,w,5235.7,635.6,685.9,4549.8,29,1865498,8/4k3/4p3/b2p1p2/1p1P1P2/1P2P3/2K5/3B4 w - - 113 136
258,136,b,2988.6,200.0,0.6,2987.9,0,14,8/4k3/4p3/b2p1p2/1p1P1P2/1P2P3/2K1B3/8 b - - 114 136
259,137,w,5049.8,627.2,683.2,4366.5,27,1801716,8/4k3/1b2p3/3p1p2/1p1P1P2/1P2P3/2K1B3/8 w - - 115 137
260,137,b,3487.9,557.0,485.8,3002.2,25,1184718,8/4k3/1b2p3/3p1p2/1p1P1P2/1P2P3/2K5/3B4 b - - 116 137
261,138,w,4866.5,619.0,1289.0,3577.5,30,3570869,8/4k3/4p3/b2p1p2/1p1P1P2/1P2P3/2K5/3B4 w - - 117 138
262,138,b,3502.2,557.6,5106.9,-1604.8,27,13772441,8/4k3/4p3/b2p1p2/1p1P1P2/1P2P3/2K1B3/8 b - - 118 138
