ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
49,34,w,46825.6,3141.3,2671.0,44154.6,8,197888,4r3/1pk2pp1/pR2b1np/P1B1p3/8/1P3PP1/2P1B2P/2Kr4 w - - 0 34
50,34,b,42172.7,2908.6,2476.4,39696.3,8,201728,4r3/1pk2pp1/pR2b1np/P1B1p3/8/1P3PP1/2P1B2P/3K4 b - - 0 34
51,35,w,44654.6,3032.7,2580.5,42074.1,8,195840,3r4/1pk2pp1/pR2b1np/P1B1p3/8/1P3PP1/2P1B2P/3K4 w - - 1 35
52,35,b,40196.3,2809.8,2216.2,37980.1,8,181499,3r4/1pk2pp1/pR2b1np/P1B1p3/8/1P3PP1/2P1B2P/2K5 b - - 2 35
53,36,w,42574.1,2928.7,2491.8,40082.3,7,194048,8/1pkr1pp1/pR2b1np/P1B1p3/8/1P3PP1/2P1B2P/2K5 w - - 3 36
54,36,b,38480.1,2724.0,2320.3,36159.8,7,172800,8/1pkr1pp1/pR2b1np/P1B1p3/1P6/5PP1/2P1B2P/2K5 b - - 0 36
55,37,w,40582.3,2829.1,2406.1,38176.2,8,199936,8/1pkr1pp1/pR2b1n1/P1B1p2p/1P6/5PP1/2P1B2P/2K5 w - - 0 37
56,37,b,36659.8,2633.0,2012.1,34647.8,8,160379,8/1pkr1pp1/pR2b1n1/P1B1p2p/1P5P/5PP1/2P1B3/2K5 b - - 0 37
57,38,w,38676.2,2733.8,2325.6,36350.6,8,188928,8/1pkr1pp1/pR4n1/P1B1pb1p/1P5P/5PP1/2P1B3/2K5 w - - 1 38
58,38,b,35147.8,2557.4,2175.1,32972.6,8,173568,8/1pkr1pp1/pR4n1/P1B1pb1p/1PB4P/5PP1/2P5/2K5 b - - 2 38
59,39,w,36850.6,2642.5,1750.9,35099.7,7,126237,8/1pkr2p1/pR3pn1/P1B1pb1p/1PB4P/5PP1/2P5/2K5 w - - 0 39
60,39,b,33472.6,2473.6,2108.3,31364.3,7,153856,8/1pkr2p1/pR3pn1/P1B1pb1p/1P5P/5PP1/2P5/2K2B2 b - - 1 39
61,40,w,35599.7,2580.0,1969.5,33630.2,9,169556,3r4/1pk3p1/pR3pn1/P1B1pb1p/1P5P/5PP1/2P5/2K2B2 w - - 2 40
62,40,b,31864.3,2393.2,2038.6,29825.8,8,167424,3r4/1pk3p1/BR3pn1/P1B1pb1p/1P5P/5PP1/2P5/2K5 b - - 0 40
63,41,w,34130.2,2506.5,1747.6,32382.6,9,147367,3r4/2k3p1/pR3pn1/P1B1pb1p/1P5P/5PP1/2P5/2K5 w - - 0 41
64,41,b,30325.8,2316.3,1971.6,28354.1,8,172032,3r4/2k3p1/R4pn1/P1B1pb1p/1P5P/5PP1/2P5/2K5 b - - 0 41
65,42,w,32882.6,2444.1,2078.6,30804.0,8,167168,6r1/2k3p1/R4pn1/P1B1pb1p/1P5P/5PP1/2P5/2K5 w - - 1 42
66,42,b,28854.1,2242.7,1908.0,26946.1,8,154368,6r1/2k3p1/R4pn1/PPB1pb1p/7P/5PP1/2P5/2K5 b - - 0 42
67,43,w,31304.0,2365.2,1397.2,29906.8,9,120282,6r1/3k2p1/R4pn1/PPB1pb1p/7P/5PP1/2P5/2K5 w - - 1 43
68,43,b,27446.1,2172.3,1347.0,26099.1,9,105993,6r1/3k2p1/3R1pn1/PPB1pb1p/7P/5PP1/2P5/2K5 b - - 2 43
69,44,w,30406.8,2320.3,1551.2,28855.5,9,130789,4k1r1/6p1/3R1pn1/PPB1pb1p/7P/5PP1/2P5/2K5 w - - 3 44
70,44,b,26599.1,2130.0,1814.4,24784.7,8,140544,4k1r1/6p1/P2R1pn1/1PB1pb1p/7P/5PP1/2P5/2K5 b - - 0 44
71,45,w,29355.5,2267.8,1679.1,27676.4,9,138668,6r1/5kp1/P2R1pn1/1PB1pb1p/7P/5PP1/2P5/2K5 w - - 1 45
72,45,b,25284.7,2064.2,1757.2,23527.5,8,145920,6r1/5kp1/PP1R1pn1/2B1pb1p/7P/5PP1/2P5/2K5 b - - 0 45
73,46,w,28176.4,2208.8,1360.1,26816.3,9,121030,2b3r1/5kp1/PP1R1pn1/2B1p2p/7P/5PP1/2P5/2K5 w - - 1 46
74,46,b,24027.5,2001.4,1702.5,22325.0,9,148480,2b3r1/P4kp1/1P1R1pn1/2B1p2p/7P/5PP1/2P5/2K5 b - - 0 46
75,47,w,27316.3,2165.8,1843.2,25473.1,9,172544,6r1/P4kp1/bP1R1pn1/2B1p2p/7P/5PP1/2P5/2K5 w - - 1 47
76,47,b,22825.0,1941.3,1651.6,21173.4,10,151552,6r1/P2R1kp1/bP3pn1/2B1p2p/7P/5PP1/2P5/2K5 b - - 2 47
77,48,w,25973.1,2098.7,1596.6,24376.5,10,148589,6r1/P2R2p1/bP2kpn1/2B1p2p/7P/5PP1/2P5/2K5 w - - 3 48
78,48,b,21673.4,1883.7,1604.3,20069.1,9,140288,6r1/PP1R2p1/b3kpn1/2B1p2p/7P/5PP1/2P5/2K5 b - - 0 48
79,49,w,24876.5,2043.8,1739.9,23136.5,9,164352,6r1/Pb1R2p1/4kpn1/2B1p2p/7P/5PP1/2P5/2K5 w - - 0 49
80,49,b,20569.1,1828.5,1557.2,19011.9,9,133888,6r1/PR4p1/4kpn1/2B1p2p/7P/5PP1/2P5/2K5 b - - 0 49
81,50,w,23636.5,1981.8,1685.3,21951.2,9,147968,r7/PR4p1/4kpn1/2B1p2p/7P/5PP1/2P5/2K5 w - - 1 50
82,50,b,19511.9,1775.6,1511.6,18000.3,9,126720,r7/P5R1/4kpn1/2B1p2p/7P/5PP1/2P5/2K5 b - - 0 50
83,51,w,22451.2,1922.6,1635.6,20815.6,9,146688,r7/P5R1/5pn1/2Bkp2p/7P/5PP1/2P5/2K5 w - - 1 51
84,51,b,18500.3,1725.0,1467.1,17033.3,9,126464,r7/P5R1/5pn1/3kp2p/7P/4BPP1/2P5/2K5 b - - 2 51
85,52,w,21315.6,1865.8,1588.1,19727.5,9,152064,r4n2/P5R1/5p2/3kp2p/7P/4BPP1/2P5/2K5 w - - 3 52
86,52,b,17533.3,1676.7,1426.6,16106.7,9,112896,r4nR1/P7/5p2/3kp2p/7P/4BPP1/2P5/2K5 b - - 4 52
87,53,w,20227.5,1811.4,1449.3,18778.2,10,134450,r4nR1/P7/5p2/3k3p/4p2P/4BPP1/2P5/2K5 w - - 0 53
88,53,b,16606.7,1630.3,925.8,15680.9,11,81213,r4nR1/P7/5p2/3k3p/4P2P/4B1P1/2P5/2K5 b - - 0 53
89,54,w,19278.2,1763.9,1502.7,17775.5,10,139520,r4nR1/P7/5p2/7p/4k2P/4B1P1/2P5/2K5 w - - 0 54
90,54,b,16180.9,1609.0,933.9,15247.0,11,90063,r4nR1/P7/5p2/2B4p/4k2P/6P1/2P5/2K5 b - - 1 54
91,55,w,18275.5,1713.8,1273.6,17001.9,11,128194,5nR1/r7/5p2/2B4p/4k2P/6P1/2P5/2K5 w - - 0 55
92,55,b,15747.0,1587.4,1351.4,14395.6,10,128512,5nR1/B7/5p2/7p/4k2P/6P1/2P5/2K5 b - - 0 55
93,56,w,17501.9,1675.1,1425.5,16076.3,10,136704,6R1/B2n4/5p2/7p/4k2P/6P1/2P5/2K5 w - - 1 56
94,56,b,14895.6,1544.8,878.7,14016.9,11,84125,6R1/B2n4/5p2/7p/2P1k2P/6P1/8/2K5 b - - 0 56
95,57,w,16576.3,1628.8,1385.5,15190.8,10,131328,6R1/B7/5p2/4n2p/2P1k2P/6P1/8/2K5 w - - 1 57
96,57,b,14516.9,1525.8,1298.0,13218.9,10,119552,6R1/B7/5p2/2P1n2p/4k2P/6P1/8/2K5 b - - 0 57
97,58,w,15690.8,1584.5,1040.0,14650.8,10,95387,6R1/B7/2n2p2/2P4p/4k2P/6P1/8/2K5 w - - 1 58
98,58,b,13718.9,1485.9,1264.3,12454.6,9,112640,1B4R1/8/2n2p2/2P4p/4k2P/6P1/8/2K5 b - - 2 58
99,59,w,15150.8,1557.5,825.9,14324.9,9,77029,1B4R1/8/5p2/2P4p/3nk2P/6P1/8/2K5 w - - 3 59
100,59,b,12954.6,1447.7,1233.0,11721.6,9,112384,1B4R1/8/5p2/2P4p/3nk2P/6P1/1K6/8 b - - 4 59
101,60,w,14824.9,1541.2,1237.0,13587.9,11,128753,1B4R1/8/5p2/2Pk3p/3n3P/6P1/1K6/8 w - - 5 60
102,60,b,12221.6,1411.1,1201.6,11020.0,11,129536,1B1R4/8/5p2/2Pk3p/3n3P/6P1/1K6/8 b - - 6 60
103,61,w,14087.9,1504.4,1281.7,12806.1,11,140800,1B1R4/8/5p2/2k4p/3n3P/6P1/1K6/8 w - - 0 61
104,61,b,11520.0,1376.0,1121.2,10398.9,11,111482,3R4/B7/5p2/2k4p/3n3P/6P1/1K6/8 b - - 1 61
105,62,w,13306.1,1465.3,1248.1,12058.1,10,146688,3R4/B7/5p2/7p/2kn3P/6P1/1K6/8 w - - 2 62
106,62,b,10898.9,1344.9,1144.7,9754.2,10,115200,8/B7/5p2/7p/2kR3P/6P1/1K6/8 b - - 0 62
107,63,w,12558.1,1427.9,1214.6,11343.5,8,130560,8/B7/5p2/1k5p/3R3P/6P1/1K6/8 w - - 1 63
108,63,b,10254.2,1312.7,721.7,9532.4,10,81009,8/B7/5p2/1k1R3p/7P/6P1/1K6/8 b - - 2 63
109,64,w,11843.5,1392.2,1184.4,10659.1,8,120576,8/B7/2k2p2/3R3p/7P/6P1/1K6/8 w - - 3 64
110,64,b,10032.4,1301.6,1109.5,8922.9,8,80896,8/B7/2k2p2/7R/7P/6P1/1K6/8 b - - 0 64
111,65,w,11159.1,1358.0,1156.2,10002.9,7,125184,8/B2k4/5p2/7R/7P/6P1/1K6/8 w - - 1 65
112,65,b,9422.9,1271.1,1082.5,8340.4,8,103424,8/3k4/5p2/7R/3B3P/6P1/1K6/8 b - - 2 65
113,66,w,10502.9,1325.1,1093.2,9409.6,8,85352,8/4k3/5p2/7R/3B3P/6P1/1K6/8 w - - 3 66
114,66,b,8840.4,1242.0,1058.0,7782.4,8,102144,8/4k3/5p2/5R2/3B3P/6P1/1K6/8 b - - 4 66
115,67,w,9909.6,1295.5,1103.4,8806.2,7,117760,8/8/3k1p2/5R2/3B3P/6P1/1K6/8 w - - 5 67
116,67,b,8282.4,1214.1,688.1,7594.3,9,63965,8/8/3k1R2/8/3B3P/6P1/1K6/8 b - - 0 67
117,68,w,9306.2,1265.3,1077.2,8229.0,8,106240,8/8/5R2/3k4/3B3P/6P1/1K6/8 w - - 1 68
118,68,b,8094.3,1204.7,1027.2,7067.1,9,86784,8/8/5R2/3k3P/3B4/6P1/1K6/8 b - - 0 68
119,69,w,8729.0,1236.5,1052.6,7676.5,8,97024,8/8/5R2/7P/3k4/6P1/1K6/8 w - - 0 69
120,69,b,7567.1,1178.4,774.5,6792.6,9,70086,8/8/5R1P/8/3k4/6P1/1K6/8 b - - 0 69
121,70,w,8176.5,1208.8,1028.4,7148.1,8,93184,8/8/5R1P/3k4/8/6P1/1K6/8 w - - 1 70
122,70,b,7292.6,1164.6,992.3,6300.3,8,90624,8/7P/5R2/3k4/8/6P1/1K6/8 b - - 0 70
123,71,w,7648.1,1182.4,1006.6,6641.4,7,85248,8/7P/5R2/4k3/8/6P1/1K6/8 w - - 1 71
124,71,b,6800.3,1140.0,933.0,5867.3,8,79505,7Q/8/5R2/4k3/8/6P1/1K6/8 b - - 0 71
125,72,w,7141.4,1157.1,984.4,6157.1,6,66560,7Q/8/5R2/3k4/8/6P1/1K6/8 w - - 1 72
126,72,b,6367.3,1118.4,727.1,5640.2,8,61969,7Q/8/5R2/3k4/8/2K3P1/8/8 b - - 2 72
127,73,w,6657.1,1132.9,802.9,5854.1,7,56297,7Q/8/5R2/4k3/8/2K3P1/8/8 w - - 3 73
128,73,b,6140.2,1107.0,649.9,5490.4,8,56446,3Q4/8/5R2/4k3/8/2K3P1/8/8 b - - 4 73
129,74,w,6354.1,1117.7,807.1,5547.0,7,58343,3Q4/8/5R2/8/4k3/2K3P1/8/8 w - - 5 74
