ply,fullmove,side,clock_in_ms,budget_ms,used_ms,clock_out_ms,depth,nodes,fen
90,54,b,24548.8,1627.4,1383.8,23165.0,15,3384842,6k1/6p1/8/7p/2n1r2P/5NK1/8/8 b - - 7 54
91,55,w,26982.2,1749.1,1487.3,25494.9,15,3740677,6k1/6p1/3n4/7p/4r2P/5NK1/8/8 w - - 8 55
92,55,b,23665.0,1583.2,1346.2,22318.8,15,3358208,6k1/6p1/3n4/7p/4r2P/5N2/5K2/8 b - - 9 55
93,56,w,25994.9,1699.7,1445.2,24549.7,15,3720192,6k1/6p1/8/5n1p/4r2P/5N2/5K2/8 w - - 10 56
94,56,b,22818.8,1540.9,1136.2,21682.6,15,2963084,6k1/6p1/8/5nNp/4r2P/8/5K2/8 b - - 11 56
95,57,w,25049.7,1652.5,1405.3,23644.5,15,3432704,6k1/6p1/8/5nNp/7r/8/5K2/8 w - - 0 57
96,57,b,22182.6,1509.1,1285.8,20896.8,15,3164672,6k1/6p1/8/5nNp/7r/5K2/8/8 b - - 1 57
97,58,w,24144.5,1607.2,1273.9,22870.6,15,3413559,6k1/6p1/8/5nNp/6r1/5K2/8/8 w - - 2 58
98,58,b,21396.8,1469.8,1249.8,20147.0,15,3276550,6k1/6p1/8/5n1p/4N1r1/5K2/8/8 b - - 3 58
99,59,w,23370.6,1568.5,1333.8,22036.8,16,3581440,6k1/6p1/8/7p/4N1rn/5K2/8/8 w - - 4 59
100,59,b,20647.0,1432.3,1217.9,19429.1,15,3275264,6k1/6p1/8/7p/4N1rn/4K3/8/8 b - - 5 59
101,60,w,22536.8,1526.8,1081.5,21455.3,17,2868419,6k1/6p1/8/7p/4r2n/4K3/8/8 w - - 0 60
102,60,b,19929.1,1396.5,1117.6,18811.6,16,2823320,6k1/6p1/8/7p/4K2n/8/8/8 b - - 0 60
103,61,w,21955.3,1497.8,1273.6,20681.8,17,3601408,6k1/8/8/6pp/4K2n/8/8/8 w - - 0 61
104,61,b,19311.6,1365.6,1161.2,18150.4,16,3290880,6k1/8/8/6pp/7n/4K3/8/8 b - - 1 61
105,62,w,21181.8,1459.1,1240.8,19940.9,17,3559186,6k1/8/8/7p/6pn/4K3/8/8 w - - 0 62
106,62,b,18650.4,1332.5,1133.1,17517.4,16,3025927,6k1/8/8/7p/5Kpn/8/8/8 b - - 1 62
107,63,w,20440.9,1422.0,1209.2,19231.8,16,3571968,8/5k2/8/7p/5Kpn/8/8/8 w - - 2 63
108,63,b,18017.4,1300.9,1106.4,16911.0,14,3134211,8/5k2/8/7p/4K1pn/8/8/8 b - - 3 63
109,64,w,19731.8,1386.6,1179.1,18552.7,16,3194888,8/5k2/6n1/7p/4K1p1/8/8/8 w - - 4 64
110,64,b,17411.0,1270.5,966.6,16444.4,15,2556368,8/5k2/6n1/7p/6p1/4K3/8/8 b - - 5 64
111,65,w,19052.7,1352.6,948.5,18104.1,16,2621826,8/5k2/6n1/8/6pp/4K3/8/8 w - - 0 65
112,65,b,16944.4,1247.2,871.4,16073.0,15,2284712,8/5k2/6n1/8/6pp/8/5K2/8 b - - 1 65
113,66,w,18604.1,1330.2,1131.2,17472.9,15,3264000,8/5k2/8/8/5npp/8/5K2/8 w - - 2 66
114,66,b,16573.0,1228.6,1044.7,15528.3,13,2966784,8/5k2/8/8/5npp/4K3/8/8 b - - 3 66
115,67,w,17972.9,1298.6,905.7,17067.2,13,2500614,8/5k2/8/7n/6pp/4K3/8/8 w - - 4 67
116,67,b,16028.3,1201.4,1021.6,15006.7,13,2907392,8/5k2/8/7n/4K1pp/8/8/8 b - - 5 67
