agent.py: Numba search successfully imported and active.
agent.py: Numba search successfully imported and active.
engine snapshot: /Users/dannybudiada/Desktop/AIChessHackathon/aichessathon/tools/scratch/longgame-snap
  7d29bc31396ff3d2819d9dbdb6aa42ac1aa0c72e9a3010a554259167b04c35fa  agent.py
  8db41e93b7d4efbb80fb3f987e1d8aca920ec41829762192a7701fac5dae8a37  search.py
  88d79da47ab3ce15233b2153d522148b7a218e834875f28c0a96a55aeb0b16ee  nsearch.py
  d6bb8861c91cd3f59bd4269b07140144482d87c84f4c72148117b8cf93140149  bitboard.py
  c7776dff84ad726ef99787f7a3efb5acd0ee3d980edf5d590117282b2dbbee99  evaluation.py
python 3.13.5  chess 1.11.2
CHESSATHON_REQUIRE_NUMBA=1  USE_NUMBA_SEARCH=None
Warming up Numba JIT...
Warmup complete.
import + JIT: 10.3s   rss 310 MB
start fen : r2qkb1r/1p3ppp/p1npbn2/4p1B1/4P3/N1N2P2/PPP3PP/R2QKB1R b KQkq - 3 9
ply cap   : 600   claim_draw=False
numba     : white=True black=True

 ply   mv side   clock_in   budget     used  ratio  clock_out   d     nodes  ttocc%     rss   cnt
 154   86 black     3.61s     563m     482m   0.86      3.13s  12   1260126  99.11%    385M    58
 156   87 black     3.63s     563m     345m   0.61      3.29s  13    918230  99.12%    386M    59
 158   88 black     3.79s     570m     427m   0.75      3.36s  13   1262803  99.14%    386M    60
 160   89 black     3.86s     574m     480m   0.84      3.38s  13   1364785  99.15%    386M    61
 162   90 black     3.88s     575m     330m   0.57      3.55s  15    939069  99.16%    386M    62
 164   91 black     4.05s     582m    1221m   2.10      2.83s  15   3674181  99.18%    385M    63
 166   92 black     3.33s     550m     327m   0.59      3.00s  16    880342  99.20%    384M    63
 167   93 white     6.87s     709m     778m   1.10      6.10s  16   2284016  99.21%    384M    62
 168   93 black     3.50s     558m     480m   0.86      3.02s  16   1363890  99.21%    384M    63
 170   94 black     3.52s     559m     490m   0.88      3.03s  17   1298273  99.22%    385M    64
 172   95 black     3.53s     559m     458m   0.82      3.07s  17   1293407  99.23%    383M    65
 174   96 black     3.57s     561m     398m   0.71      3.18s  18   1154149  99.24%    381M    66
 176   97 black     3.68s     565m     563m   1.00      3.11s  18   1667018  99.25%    381M    67
 178   98 black     3.61s     563m     531m   0.94      3.08s  19   1628068  99.26%    381M    68
 180   99 black     3.58s     561m     485m   0.86      3.10s  18   1483820  99.27%    381M    69
 182  100 black     3.60s     562m     562m   1.00      3.04s  18   1719602  99.28%    384M    70
 184  101 black     3.54s     559m     309m   0.55      3.23s  23    967616  99.29%    384M    71
 186  102 black     3.73s     568m     318m   0.56      3.41s  25   1165938  99.29%    385M    72
 188  103 black     3.91s     576m     492m   0.85      3.42s  28   1666304  99.29%    387M    73
 190  104 black     3.92s     576m     492m   0.85      3.43s  28   1730638  99.30%    387M    74
 192  105 black     3.93s     577m     307m   0.53      3.62s  25   1064406  99.30%    387M    75
 194  106 black     4.12s     585m     435m   0.74      3.68s  31   1620911  99.30%    387M    76
 196  107 black     4.18s     588m     508m   0.86      3.68s  32   1798752  99.30%    387M    77
 198  108 black     4.18s     588m     508m   0.86      3.67s  33   1841874  99.31%    387M    78
 200  109 black     4.17s     588m     316m   0.54      3.85s  34   1084503  99.31%    387M    79
 202  110 black     4.35s     596m     641m   1.08      3.71s  34   2313722  99.31%    387M    80
 204  111 black     4.21s     589m     875m   1.49      3.34s  34   3195570  99.31%    387M    81
 205  112 white     6.27s     682m     876m   1.28      5.40s  34   3237353  99.31%    387M    79
 206  112 black     3.84s     573m     401m   0.70      3.43s  34   1352992  99.32%    387M    81
 208  113 black     3.93s     577m     312m   0.54      3.62s  30   1073671  99.32%    387M    82
 209  114 white     6.02s     671m     904m   1.35      5.12s  35   3232488  99.32%    387M    80
 210  114 black     4.12s     586m     600m   1.02      3.52s  35   2099674  99.32%    387M    82
 211  115 white     5.62s     653m    1987m   3.04      3.63s  38   7450843  99.32%    387M    80
 212  115 black     4.02s     581m     312m   0.54      3.71s  39   1116094  99.32%    387M    82
 213  116 white     4.13s     586m    1670m   2.85      2.46s  37   6300593  99.33%    387M    80
 214  116 black     4.21s     589m     513m   0.87      3.70s  37   1742452  99.33%    387M    82
 215  117 white     2.96s     200m       0m   0.00      2.96s   0        25  99.33%    387M    80
 216  117 black     4.20s     589m     312m   0.53      3.89s  40   1121189  99.33%    387M    82
 217  118 white     3.46s     556m    3416m   6.15      0.04s  38  13250074  99.33%    388M    80
 218  118 black     4.39s     597m     616m   1.03      3.77s  38   2278631  99.33%    388M    82
 219  119 white     0.54s      54m       0m   0.01      0.54s   0        25  99.33%    388M    80
 220  119 black     4.27s     592m     381m   0.64      3.89s  41   1385054  99.33%    388M    82
 221  120 white     1.04s     104m       0m   0.00      1.04s   0        20  99.33%    388M    80
 222  120 black     4.39s     597m     519m   0.87      3.87s  38   1990457  99.33%    388M    82
 223  121 white     1.54s     154m       0m   0.00      1.54s   0        24  99.33%    388M    80
 224  121 black     4.37s     597m    1352m   2.27      3.02s  42   5043900  99.34%    388M    82
 225  122 white     2.04s     200m       0m   0.00      2.04s   0        20  99.34%    388M    80
