ply,depth,nodes,ebf,occupancy_pct,sec,fen
1420,10,1714207,4.2015,99.9844,0.735,2rq1rk1/pp2ppbp/3p1np1/2pP1b2/P2P1P1P/2P1B1P1/1P2N1B1/R2Q1RK1 b - - 0 15
1425,10,247003,3.4615,99.9849,0.117,2rq1rk1/1p2ppbp/3p2p1/p2P1b2/P1pP1PnP/R1P3P1/1P2N1B1/2BQ1RK1 w - - 0 18
1430,10,1021333,3.9895,99.9853,0.411,2r2rk1/1p1qppbp/3p2p1/p2P4/P1pP1PnP/1PPb1BP1/4N3/R1BQ1RK1 b - - 4 20
1435,10,491756,3.7083,99.9857,0.219,2r2rk1/1p2ppbp/3p2p1/p2P4/P1pPqPnP/1PP3P1/3BN3/R2Q1RK1 w - - 0 23
1440,10,1650829,4.1857,99.9864,0.645,5rk1/1p2ppbp/3p2p1/p2q1P2/P1rP2nP/2P3P1/3BN3/1R1Q1RK1 b - - 0 25
1445,10,2197517,4.3072,99.9871,0.997,5rk1/1p2ppbp/3p4/pR3p2/P1rP1RnP/2Pq2P1/3BN3/3Q2K1 w - - 4 28
1450,10,2108324,4.2894,99.9877,0.92,5rk1/1R2ppbp/3p4/p4p2/P2P1RnP/2N3q1/3B4/3Q1K2 b - - 1 30
1455,10,1637782,4.1824,99.988,0.739,5rk1/1q2ppbp/3p4/p4p2/P2P1RnP/2NK4/3B4/3Q4 w - - 0 33
1460,10,3775093,4.5467,99.9888,1.695,5rk1/5pbp/3pp3/p7/Pq1P1RnP/2NK1Q2/3B4/8 b - - 3 35
1465,10,555584,3.7538,99.9893,0.245,6k1/5pb1/3pp3/p6p/Pq1P1RnP/2r5/3BK1Q1/8 w - - 0 38
1470,10,462357,3.6855,99.9896,0.199,5bk1/5p2/3pp3/p6p/P2P1RnP/2q2Q2/4K3/8 b - - 1 40
1475,10,145332,3.2827,99.9898,0.06,5bk1/5p2/4p3/p2p4/P1qP2pP/5Q2/8/4K3 w - - 0 43
1480,10,40,1.4461,99.99,0.0,6k1/5p2/4p3/p2p4/P1qb2QP/8/8/4K3 b - - 1 45
1485,10,209480,3.405,99.9903,0.089,3Q4/5pk1/4p3/p2p4/q2b3P/8/8/4K3 w - - 2 48
1490,10,41,1.4497,99.9905,0.0,6k1/5p2/4p3/p2p2Q1/q2b3P/8/8/4K3 b - - 7 50
1495,10,1379916,4.1114,99.9912,0.545,6k1/5pb1/4p3/3p2Q1/p6P/8/5K2/3q4 w - - 0 53
1500,10,503178,3.7168,99.9913,0.195,6k1/5pb1/4p2P/3p2Q1/3q4/p7/6K1/8 b - - 2 55
1505,10,141779,3.2746,99.9929,0.052,6k1/5pP1/4p3/3p2Q1/4q3/8/5K2/q7 w - - 0 58
1510,10,532134,3.7377,99.995,0.232,r1bq1rk1/pp2ppbp/2np1np1/2p5/4P2P/2NP2P1/PPP1NPB1/R1BQ1RK1 b - - 4 8
1515,10,142406,3.2761,99.9951,0.057,2rq1rk1/pp2ppbp/2np2p1/2pn4/4P1bP/2PP2P1/PP2NPB1/R1BQ1RK1 w - - 0 11
1520,10,463572,3.6865,99.9951,0.214,2rq1rk1/pp1nppbp/3p2p1/2pP4/5PbP/2PPB1P1/PP2N1B1/R2Q1RK1 b - - 2 13
1525,10,275785,3.4999,99.9951,0.125,2rq1rk1/pp2ppbp/3p2p1/2pP1b2/P2P1PnP/2P1B1P1/1P2N1B1/R2Q1RK1 w - - 1 16
1530,10,457482,3.6816,99.9952,0.188,2rq1rk1/1p2ppbp/3p2p1/p2P1b2/P1pP1PnP/RPP3P1/4N1B1/2BQ1RK1 b - - 0 18
