ply,depth,nodes,ebf,occupancy_pct,sec,fen
610,10,1375231,4.11,92.9277,0.573,r4r2/1kpR4/5p1p/P2Nb2P/K3P1P1/5P2/8/3R4 w - - 17 46
615,10,132003,3.2513,93.1013,0.056,N4r2/1kpR4/5p1p/P6P/K3PbP1/8/8/3R4 b - - 0 48
620,10,510799,3.7224,93.2225,0.209,3R4/1kp5/r4p1p/P6P/K3P1P1/4b3/8/5R2 w - - 4 51
625,10,184830,3.3626,93.3081,0.077,1R1R4/2p5/r1k2p1p/P5bP/K3P1P1/8/8/8 b - - 9 53
630,10,103577,3.1734,93.3659,0.041,4R3/2p5/r1k2p1p/P2R3P/K3PbP1/8/8/8 w - - 14 56
635,10,91443,3.1341,93.3763,0.036,8/2p5/k4p1p/P4R1P/K3PbP1/8/8/8 b - - 1 58
640,10,90481,3.1308,93.3903,0.036,8/k1p5/P4R1p/7P/K3P1P1/8/8/2b5 w - - 1 61
645,10,61325,3.0114,93.4012,0.024,8/k1p5/P4R1p/1K5P/4PbP1/8/8/8 b - - 6 63
650,10,23524,2.7362,93.4199,0.009,8/k1p1b3/P6p/1K3R1P/4P3/8/8/8 w - - 2 66
655,10,1594,2.0905,93.428,0.001,8/k1p1bR2/P6p/1K5P/4P3/8/8/8 b - - 7 68
660,10,97200,3.1533,93.4365,0.033,8/k7/P1K2R1p/7P/4P3/b7/8/8 w - - 1 71
665,10,271902,3.495,93.4576,0.119,8/5R2/k1K1P2p/7P/1b6/8/8/8 b - - 0 73
670,10,10198786,5.0217,94.1241,3.383,4Q3/5R2/2K4p/7P/k7/2b5/8/8 w - - 1 76
675,10,586788,3.7744,94.3425,0.195,8/1R6/1QK4p/7P/k7/2b5/8/8 b - - 6 78
680,10,849410,3.9166,94.4917,0.389,r1bqk2r/pppp1ppp/5n2/1B2p3/1b1nP3/2NP1N2/PPP2PPP/R1BQK2R w KQkq - 1 6
685,10,5149952,4.6901,94.8537,2.164,r1bqk2r/p1p2ppp/5n2/1p1PN3/1bBn4/2NP4/PPP2PPP/R1BQK2R b KQkq - 0 8
690,10,2486472,4.3607,95.1858,1.123,r1b1k2r/p1p1qppp/3b1n2/3PN3/2Pn4/2N5/PPP2PPP/R1BQ1RK1 w kq - 3 11
695,10,546939,3.748,95.3318,0.213,r1b2rk1/p1p1qppp/3b1nN1/3P1n2/2P2B2/2N5/PPP2PPP/R2QR1K1 b - - 8 13
700,10,975813,3.9713,95.3979,0.426,r1b2qk1/p1p2pp1/5np1/3P1n2/2P5/2N5/PPP2PPP/R2QR1K1 w - - 0 16
705,10,341460,3.5755,95.581,0.135,r1b3k1/2p2pp1/p2q1np1/3P1n2/P1P1N3/1P6/2P2PPP/R2QR1K1 b - - 2 18
710,10,623177,3.7972,95.699,0.278,5rk1/2pb1pp1/p2q2p1/3P1n2/P1P1R3/1P6/2PQ1PPP/R5K1 w - - 3 21
715,10,753694,3.8701,95.9032,0.346,3r2k1/2pb1pp1/p4qp1/2PP1n2/P3R3/1P5P/2PQ1PP1/4R1K1 b - - 0 23
720,10,519764,3.7289,95.9875,0.229,1r4k1/5pp1/p1pPbqp1/2P2n2/P1P1R3/1P5P/3Q1PP1/4R1K1 w - - 1 26
725,10,436333,3.6642,96.1289,0.195,3r2k1/3b1pp1/p1pP1qp1/P1P1Rn2/1PP5/7P/3Q1PP1/4R1K1 b - - 0 28
730,10,1181705,4.0481,96.2241,0.504,1r6/3b1ppk/p1pP1qp1/P1P1R3/1PP1R2n/2Q4P/5PP1/6K1 w - - 5 31
735,10,191067,3.3738,96.3045,0.079,1r4k1/5pp1/p1pPbqp1/P1P1R1P1/1PP1RP1n/2Q4P/8/6K1 b - - 0 33
740,10,761374,3.874,96.3635,0.326,1r1q2k1/6p1/p1pPR1p1/P1P2nP1/1PP2P2/2Q4P/8/6K1 w - - 1 36
745,10,373254,3.6075,96.4132,0.16,1r6/3q2pk/p1pP2p1/P1P2nP1/1PP2P2/2Q4P/7K/4R3 b - - 6 38
750,10,281705,3.5074,96.4669,0.108,3r4/5qpk/p1pn2p1/P1P3P1/1PP2P2/2Q4P/8/4R2K w - - 0 41
755,10,268036,3.49,96.5103,0.113,8/3q2pk/p1pr2p1/P5P1/1PP2P2/2Q1R2P/8/7K b - - 3 43
760,10,157628,3.3095,96.5423,0.07,8/6pk/p1p3p1/P1Pq2P1/1P1r1P2/2Q2R1P/8/7K w - - 1 46
765,10,290175,3.5178,96.573,0.122,8/6pk/p1p3p1/P1P3P1/3Q1P2/5q1P/7K/8 b - - 1 48
770,10,368552,3.6029,96.5943,0.153,8/6pk/p1p3p1/q1P3P1/3Q1P2/5K1P/8/8 w - - 0 51
775,10,385911,3.6195,96.634,0.169,8/6pk/p1p1Q1p1/2P3P1/5P2/5K1P/7q/8 b - - 5 53
780,10,1324386,4.0945,96.738,0.584,8/6pk/2p3p1/2P3P1/5P2/p2Q1K1P/7q/8 w - - 0 56
785,10,449575,3.6752,96.8101,0.2,8/6pk/2p3p1/2P3P1/3Q1P2/5K1P/p1q5/8 b - - 3 58
790,10,267280,3.489,96.8622,0.097,8/6pk/2p3p1/2P3P1/5P2/6KP/8/q7 w - - 0 61
795,10,1002558,3.9821,96.9013,0.34,8/6pk/2p3p1/2P3P1/4qP2/7P/5K2/8 b - - 5 63
800,10,64562,3.0269,96.9233,0.02,8/6pk/2p3p1/2P3P1/8/3K3q/8/8 w - - 0 66
805,10,1010571,3.9853,96.9496,0.309,8/6pk/2p3p1/2P3q1/3K4/8/8/8 b - - 1 68
810,10,230379,3.4375,96.9648,0.072,8/6pk/2p5/2P5/5qp1/2K5/8/8 w - - 0 71
815,10,17080340,5.2875,97.3132,5.312,8/6pk/2p5/2P5/5q2/3K4/6p1/8 b - - 1 73
820,10,3158321,4.4663,97.7168,1.417,rnbqk2r/pp2bppp/3pp3/3nP3/2BP4/5N2/PP3PPP/RNBQK2R w KQkq - 1 8
825,10,970509,3.9692,97.8042,0.448,rnb1k2r/ppq1bppp/3pp3/4P3/2BP4/1QP2N2/P4PPP/R1B1K2R b KQkq - 2 10
830,10,1249308,4.0707,97.8982,0.545,r1b1k2r/ppq1bppp/4p3/4n3/2BP4/1QP2N2/P4PPP/R3K2R w KQkq - 0 13
835,10,767123,3.8769,97.9974,0.329,r1b2k1r/ppq2ppp/3bp3/1B6/2NP4/1QP5/P4PPP/R3K2R b KQ - 4 15
840,10,1892,2.1266,98.054,0.001,r1b2k1r/pp3ppp/4p3/1B6/2NP4/1QP3q1/P7/R3K2R w KQ - 0 18
845,10,739125,3.8625,98.2193,0.338,r1b2k1r/pp3pp1/4p3/1B2N2p/3P4/1QP5/P5q1/R2K1R2 b - - 3 20
850,10,2419342,4.3488,98.344,1.058,r1b3kr/pp4p1/4p3/1B2NR2/P2P3p/1QP5/6q1/R2K4 w - - 0 23
855,10,714427,3.8494,98.4046,0.302,r1b3kr/pp4p1/4p3/3qN3/P1BP3p/1QP5/R7/3K1R2 b - - 5 25
860,10,842464,3.9134,98.4837,0.344,r1b4k/pp2q1p1/4p3/8/P1BP3p/1QP5/R7/3K1R2 w - - 0 28
865,10,381826,3.6157,98.5236,0.164,1r5k/pp2q1p1/4Q3/8/P2P3p/2P5/4R3/3K1R2 b - - 0 30
870,10,823751,3.9046,98.5479,0.309,1r5k/p4Rp1/4R3/8/p2P3p/2P5/8/3K4 w - - 0 33
875,10,233728,3.4425,98.5605,0.091,7k/R5p1/8/8/p2P4/2P1R2p/2K5/1r6 b - - 3 35
880,10,223707,3.4274,98.5782,0.077,7k/R5p1/8/3P4/p7/2PKR2p/8/7r w - - 3 38
885,10,321962,3.5545,98.5978,0.128,6k1/6p1/8/3P4/7R/2PK3R/7p/7r b - - 1 40
890,10,57641,2.9928,98.6214,0.02,7R/6k1/8/3P2p1/8/2PK4/7R/3r4 w - - 1 43
895,10,10,1.2589,98.6421,0.0,8/7R/5k1R/3P4/4K1p1/2P5/8/3r4 b - - 3 45
900,10,56,1.4956,98.6492,0.0,8/7R/5k2/3P3R/5Kp1/2P5/8/5r2 w - - 8 48
905,10,172736,3.3399,98.658,0.064,8/7R/5k2/3P3R/4K3/2P5/8/5r2 b - - 4 50
910,10,952174,3.9616,98.676,0.332,8/7R/5k2/2KP3R/8/2P5/3r4/8 w - - 9 53
915,10,20,1.3493,98.6864,0.0,8/5R2/4R3/2KP1k2/8/2P5/3r4/8 b - - 14 55
920,10,42,1.4532,98.7149,0.0,8/5R2/3PR3/r1K3k1/2P5/8/8/8 w - - 1 58
925,10,1417207,4.1223,98.8046,0.48,8/2KP1R2/4R3/6k1/2P5/8/8/3r4 b - - 2 60
930,10,2356160,4.3373,98.9036,0.793,8/2KP1R2/6k1/3R4/2P5/8/8/r7 w - - 7 63
935,10,84,1.5575,98.9523,0.0,3Q4/2K2k2/8/5R2/2P5/8/8/r7 b - - 2 65
940,10,1607570,4.1746,98.9758,0.531,6k1/2K5/5Q2/7R/2P5/8/8/r7 w - - 7 68
945,10,483171,3.7018,99.0215,0.206,r1bqkb1r/pp1pnppp/4p3/8/3QP3/6P1/PPP2PBP/RNB1K2R b KQkq - 2 7
950,10,1525272,4.1527,99.0547,0.673,r1bqk2r/1p1p1ppp/p1n1p3/2b5/4P3/6P1/PPPQ1PBP/RNB2RK1 w kq - 0 10
955,10,1441490,4.1293,99.1221,0.613,r1bq1rk1/3p1ppp/p1n1p3/1pb5/4P3/P1N3P1/1PPQ1PBP/R1BR2K1 b - - 0 12
960,10,630489,3.8016,99.1554,0.308,3r1rk1/1b3ppp/pqn1p3/1pb5/4P3/P1N3P1/1PPQ1PBP/R1BR2K1 w - - 3 15
965,10,1338744,4.0989,99.208,0.557,3r1rk1/1b4pp/pq2p3/1pb2p2/1P1nP3/P1N3P1/2PR1PBP/R1B1Q1K1 b - - 0 17
970,10,758829,3.8727,99.2462,0.34,3r1rk1/1b4pp/pq2pb2/1p6/1P1np3/P1N3P1/1BPR1PBP/R2Q2K1 w - - 0 20
975,10,395353,3.6283,99.2661,0.157,3R1rk1/6pp/pq2pb2/1p6/1P6/P1N2bP1/1BP2P1P/R2Q2K1 b - - 0 22
980,10,891076,3.9354,99.2722,0.354,5k2/6pp/1q2pb2/pp6/1P6/P1N3P1/1BP2P1P/3R2K1 w - - 0 25
985,10,301847,3.5317,99.2781,0.117,5k2/6pp/2q1pb2/1p6/1P6/2N1R1P1/1BP2P1P/6K1 b - - 2 27
990,10,475031,3.6955,99.2902,0.191,5k2/6pp/8/1p2p3/1Pqb4/2NR2P1/2P2P1P/B5K1 w - - 2 30
995,10,232536,3.4407,99.2975,0.089,4k3/6pp/8/1p1Np3/1q1b4/5RP1/2P2PKP/B7 b - - 1 32
1000,10,567250,3.7616,99.3068,0.231,4k3/6pp/8/1p6/3p1N2/5RP1/2q2PKP/8 w - - 0 35
1005,10,84037,3.1078,99.3172,0.032,8/3k3p/8/1p3N2/8/3p1RP1/2q2PKP/8 b - - 2 37
